env,baseline,seed,step,avg_return,std_return
CartPole-v1,gae,1,130000,358.0,100.57435060690176
CartPole-v1,gae,1,140000,477.2,45.6
CartPole-v1,gae,1,150000,487.2,17.127755252805315
CartPole-v1,gae,1,160000,461.0,49.839743177508446
CartPole-v1,gae,1,170000,482.0,36.0
CartPole-v1,gae,1,180000,442.8,46.705031848827595
CartPole-v1,gae,1,190000,464.2,43.856128420096546
CartPole-v1,gae,1,200000,420.4,68.30695425796702
CartPole-v1,gae,2,10000,196.2,153.27282864226132
CartPole-v1,gae,2,20000,435.6,97.2678775341582
CartPole-v1,gae,2,30000,455.4,89.2
CartPole-v1,gae,2,40000,500.0,0.0
CartPole-v1,gae,2,50000,489.2,21.6
CartPole-v1,gae,2,60000,490.6,18.8
CartPole-v1,gae,2,70000,459.0,59.853153634541265
CartPole-v1,gae,2,80000,491.6,16.8
CartPole-v1,gae,2,90000,490.2,12.039933554633928
CartPole-v1,gae,2,100000,500.0,0.0
CartPole-v1,gae,2,110000,469.2,61.6
CartPole-v1,gae,2,120000,385.0,140.8886084820203
CartPole-v1,gae,2,130000,500.0,0.0
CartPole-v1,gae,2,140000,500.0,0.0
CartPole-v1,gae,2,150000,500.0,0.0
CartPole-v1,gae,2,160000,500.0,0.0
CartPole-v1,gae,2,170000,486.6,19.44839324982915
CartPole-v1,gae,2,180000,442.4,115.2
CartPole-v1,gae,2,190000,441.4,117.2
CartPole-v1,gae,2,200000,491.2,17.6
LunarLander-v3,none,0,10000,-213.35639737095238,43.98114406570505
LunarLander-v3,none,0,20000,-301.90665627649656,61.09473956166985
LunarLander-v3,none,0,30000,-232.33251372041005,16.600958087363903
LunarLander-v3,none,0,40000,-220.42862092146987,34.315640841109406
LunarLander-v3,none,0,50000,-172.48422943467497,28.591213285910847
LunarLander-v3,none,0,60000,-433.13690905722177,60.34349859255488
LunarLander-v3,none,0,70000,-822.7803954994722,64.07155063507862
LunarLander-v3,none,0,80000,-651.913920288204,55.23299762405842
LunarLander-v3,none,0,90000,-212.75343176156395,48.70627801521911
LunarLander-v3,none,0,100000,-264.1593068332958,42.67553113149177
LunarLander-v3,none,0,110000,-134.86166122027785,31.045320492486578
LunarLander-v3,none,0,120000,-120.63146211783919,24.7830745015475
LunarLander-v3,none,0,130000,-98.33322205044567,22.342018147291878
LunarLander-v3,none,0,140000,-126.9590377606764,9.98100113000682
LunarLander-v3,none,0,150000,-43.98169453337667,18.451300157336654
LunarLander-v3,none,0,160000,-90.74941373634331,26.158259409216875
LunarLander-v3,none,0,170000,-368.9775130355114,21.798943853360058
LunarLander-v3,none,0,180000,-215.13663414411388,13.055028024172586
LunarLander-v3,none,0,190000,-32.60813505331428,19.109434616875838
LunarLander-v3,none,0,200000,-13.541483175064666,22.9368932711926
LunarLander-v3,none,1,10000,-520.9423638405326,182.15312773992918
LunarLander-v3,none,1,20000,-432.92246460294,87.32967437212132
LunarLander-v3,none,1,30000,-195.10141148813665,66.96742223591761
LunarLander-v3,none,1,40000,-174.5330601362012,22.486552806281235
LunarLander-v3,none,1,50000,-196.5001945142088,27.823489330841333
LunarLander-v3,none,1,60000,-208.4322558423998,23.97588531100579
LunarLander-v3,none,1,70000,-152.0898928366787,33.777819188872925
LunarLander-v3,none,1,80000,-24.941780073395353,13.718300954797884
LunarLander-v3,none,1,90000,-94.3945491210459,19.487116766244796
LunarLander-v3,none,1,100000,-76.37381805852223,14.847959643528602
LunarLander-v3,none,1,110000,-77.0643265055033,12.318078161978864
LunarLander-v3,none,1,120000,-40.79983063815091,23.862015076639295
LunarLander-v3,none,1,130000,-26.725846716926817,17.375269539305673
LunarLander-v3,none,1,140000,-125.02691214644486,38.83531534762156
LunarLander-v3,none,1,150000,-89.34583695983541,16.311875825321977
LunarLander-v3,none,1,160000,-38.791735573214325,17.34034966419234
LunarLander-v3,none,1,170000,-52.24944922390532,23.18753466440839
LunarLander-v3,none,1,180000,-72.71546165328628,17.49055252439131
LunarLander-v3,none,1,190000,-31.882638651063964,17.06772041985403
LunarLander-v3,none,1,200000,-21.361780308760586,21.80622387934182
LunarLander-v3,none,2,10000,-707.1218484125666,505.85506882823796
LunarLander-v3,none,2,20000,-300.12567992078687,30.926354769223387
LunarLander-v3,none,2,30000,-164.642812263795,15.128261441825693
LunarLander-v3,none,2,40000,-644.707083076842,32.95676486272176
LunarLander-v3,none,2,50000,-211.439301564488,23.416041020284858
LunarLander-v3,none,2,60000,-302.54153735110765,52.433520512065236
LunarLander-v3,none,2,70000,-310.8554106057013,17.510436927625353
LunarLander-v3,none,2,80000,-277.84616606542784,80.77338216923089
LunarLander-v3,none,2,90000,-211.6430629638914,47.778691289569544
LunarLander-v3,none,2,100000,-78.84799269730783,37.318716414852325
LunarLander-v3,none,2,110000,-267.03236751132835,37.61343232066147
LunarLander-v3,none,2,120000,-225.83060383703105,16.23710032463341
LunarLander-v3,none,2,130000,-58.44779612162474,26.697695666933676
LunarLander-v3,none,2,140000,171.51985314684234,8.81827075425527
LunarLander-v3,none,2,150000,-64.6746528811609,25.53762845633542
LunarLander-v3,none,2,160000,-29.17874247243329,21.984942913379214
LunarLander-v3,none,2,170000,-41.64411720643342,19.993880182104974
LunarLander-v3,none,2,180000,-45.636778551974245,24.641821447441878
LunarLander-v3,none,2,190000,-38.392582007127096,9.59831334235167
LunarLander-v3,none,2,200000,-46.39726846340272,11.998321290675797
LunarLander-v3,avg,0,10000,-627.657005639932,268.0164311663564
LunarLander-v3,avg,0,20000,-1295.8116917891798,678.7688526394371
LunarLander-v3,avg,0,30000,-2620.529415923379,1663.1185907763384
LunarLander-v3,avg,0,40000,-240.92414694423323,9.075523179589124
LunarLander-v3,avg,0,50000,-143.76576637634034,33.02205974554495
LunarLander-v3,avg,0,60000,-209.15676145013632,42.94955363323903
LunarLander-v3,avg,0,70000,-263.24112061102335,66.51654902462725
LunarLander-v3,avg,0,80000,-149.94123391693728,23.049942858799096
LunarLander-v3,avg,0,90000,-72.99840647142146,11.17851895384341
LunarLander-v3,avg,0,100000,-85.39891591752249,11.848511295220906
LunarLander-v3,avg,0,110000,-117.2653131063652,18.895030772022846
LunarLander-v3,avg,0,120000,-137.4478251843854,26.154153457385213
LunarLander-v3,avg,0,130000,-121.62431585961642,15.866356899556935
LunarLander-v3,avg,0,140000,-125.5524045841214,21.03559894749893
LunarLander-v3,avg,0,150000,-142.29729810551385,11.483789430534637
LunarLander-v3,avg,0,160000,-145.22467831332042,11.432904825437731
LunarLander-v3,avg,0,170000,-139.0108157350706,15.19319567977878
LunarLander-v3,avg,0,180000,-116.23630458046887,13.24206030242796
LunarLander-v3,avg,0,190000,-104.75107943383753,11.280074594728363
LunarLander-v3,avg,0,200000,-88.9277113320837,7.001194997108479
LunarLander-v3,avg,1,10000,-277.7991619468168,31.30295516907606
LunarLander-v3,avg,1,20000,-176.68097472655091,42.23250102611643
LunarLander-v3,avg,1,30000,-154.76566698508583,32.173099839919445
LunarLander-v3,avg,1,40000,-210.57954311476684,36.93039898469975
LunarLander-v3,avg,1,50000,-174.53845478546168,23.77473211072661
LunarLander-v3,avg,1,60000,-157.12569646809055,30.57444722905952
LunarLander-v3,avg,1,70000,-171.37581685329343,17.071508839399268
LunarLander-v3,avg,1,80000,-176.98713319803858,23.172366332785227
